,photo_id,owner,lat,lon,taken
0,12056545693,78191777@N00,51.465164,-0.129085,2014-01-20 15:19:44
1,12453639663,41087279@N00,51.52767,-0.083648,2014-02-09 23:05:35
2,13185773995,41087279@N00,51.52767,-0.083648,2014-03-14 22:24:02
3,13295046445,30625665@N00,51.513042,-0.089221,2014-03-20 09:13:03
4,13357656115,41087279@N00,51.52767,-0.083648,2014-03-21 23:18:39
5,13816039704,30625665@N00,51.51777,-0.082182,2014-04-08 18:41:17
6,13981004399,41087279@N00,51.502697,-0.188376,2014-05-11 01:02:56
7,14020453980,41087279@N00,51.525684,-0.083262,2014-05-11 12:48:26
8,14164690032,41087279@N00,51.502697,-0.188376,2014-05-11 01:00:30
9,14164957612,41087279@N00,51.502697,-0.188376,2014-05-11 01:02:42
10,14216612421,41087279@N00,51.525684,-0.083262,2014-05-11 11:55:49
11,14273425489,41087279@N00,51.525555,-0.082917,2014-06-16 15:50:27
12,14290256792,101437384@N06,51.508423,-0.096774,2014-05-23 21:59:21
13,14301215605,101437384@N06,51.50878,-0.098619,2014-05-23 22:24:00
14,14365757571,95796241@N02,51.677612,-0.43147,2014-04-17 11:40:00
15,14620641787,84459314@N00,51.533535,-0.123067,2014-07-21 19:07:18
16,14673053435,36697450@N02,51.50089,-0.120656,2014-07-15 17:23:12
17,14723465071,41087279@N00,51.513275,-0.087922,2014-07-21 20:08:32
18,14738631173,41087279@N00,51.513275,-0.087922,2014-07-21 20:55:14
19,14773244886,41087279@N00,51.545425,-0.075886,2014-07-29 14:44:21
20,14800929070,41087279@N00,51.51447,-0.083644,2014-08-13 16:48:55
21,14800979728,41087279@N00,51.51447,-0.083644,2014-08-13 16:48:56
22,14866399654,41087279@N00,51.501083,-0.150729,2014-08-06 19:50:40
23,14909373238,41087279@N00,51.52595,-0.086787,2014-08-29 16:48:42
24,14946671154,41087279@N00,51.526592,-0.083515,2014-10-18 02:36:48
25,14979435277,41087279@N00,51.513103,-0.087922,2014-09-06 14:14:53
26,14993464580,47373643@N04,51.507874,-0.087545,2014-08-31 16:53:04
27,15000188827,41087279@N00,51.513103,-0.087922,2014-09-06 18:17:08
28,15009408837,41087279@N00,51.513103,-0.087922,2014-09-06 16:13:09
29,15010016907,41087279@N00,51.513103,-0.087922,2014-09-06 17:39:05
